issue,date,front_balls,back_balls
24137,2024-11-25,"08,15,16,17,21","02,05"
24136,2024-11-23,"01,17,20,29,34","07,08"
24135,2024-11-20,"06,08,22,24,30","03,08"
24134,2024-11-18,"01,04,07,13,33","05,06"
24133,2024-11-16,"08,10,14,22,29","04,06"
24132,2024-11-13,"05,06,10,16,31","06,09"
24131,2024-11-11,"02,03,04,21,26","02,03"
24130,2024-11-09,"11,21,25,31,32","04,10"
24129,2024-11-06,"07,19,30,31,34","05,07"
24128,2024-11-04,"03,07,10,29,31","01,03"
24127,2024-11-02,"02,03,10,16,28","07,10"
24126,2024-10-30,"02,10,17,28,34","07,08"
24125,2024-10-28,"10,14,19,24,26","01,10"
24124,2024-10-26,"02,03,07,10,25","01,11"
24123,2024-10-23,"03,09,16,30,31","08,09"
24122,2024-10-21,"05,06,09,15,17","03,10"
24121,2024-10-19,"07,15,18,24,33","04,05"
24120,2024-10-16,"04,12,17,23,27","02,08"
24119,2024-10-14,"06,12,28,30,33","02,07"
24118,2024-10-12,"01,03,09,16,19","05,11"
24117,2024-10-09,"02,10,22,26,28","02,04"
24116,2024-10-07,"01,03,06,16,25","01,11"
24115,2024-10-05,"03,04,12,19,24","08,12"
24114,2024-09-30,"12,27,30,34,35","05,11"
24113,2024-09-28,"16,18,25,26,33","04,08"
24112,2024-09-25,"05,15,24,31,34","03,10"
24111,2024-09-23,"03,09,19,27,30","07,11"
24110,2024-09-21,"01,07,08,18,28","04,12"
24109,2024-09-18,"12,23,26,27,28","03,11"
24108,2024-09-16,"16,17,21,31,34","03,08"
24107,2024-09-14,"06,14,16,18,34","03,10"
24106,2024-09-11,"05,11,19,22,29","02,12"
24105,2024-09-09,"14,20,21,28,32","09,11"
24104,2024-09-07,"01,04,09,13,17","06,09"
24103,2024-09-04,"19,21,29,32,33","06,08"
24102,2024-09-02,"01,05,09,14,20","05,11"
24101,2024-08-31,"16,19,22,27,35","06,10"
24100,2024-08-28,"02,12,19,22,32","05,11"
24099,2024-08-26,"04,10,24,31,35","05,08"
24098,2024-08-24,"03,10,15,19,29","09,10"
24097,2024-08-21,"07,11,12,14,19","02,08"
24096,2024-08-19,"02,03,23,27,31","01,10"
24095,2024-08-17,"01,07,19,26,27","03,05"
24094,2024-08-14,"12,13,24,29,31","02,08"
24093,2024-08-12,"16,24,26,28,29","08,12"
24092,2024-08-10,"02,04,25,26,31","01,06"
24091,2024-08-07,"01,08,11,17,21","01,02"
24090,2024-08-05,"02,03,06,28,33","07,11"
24089,2024-08-03,"05,06,29,30,34","07,08"
24088,2024-07-31,"01,02,23,28,32","03,05"
24087,2024-07-29,"07,10,20,28,34","05,10"
24086,2024-07-27,"11,12,14,22,28","07,11"
24085,2024-07-24,"02,09,16,29,35","01,06"
24084,2024-07-22,"04,11,16,17,23","05,10"
24083,2024-07-20,"09,11,12,13,30","07,09"
24082,2024-07-17,"08,21,23,24,26","04,05"
24081,2024-07-15,"14,15,25,27,34","01,10"
24080,2024-07-13,"03,05,24,27,28","09,11"
24079,2024-07-10,"03,08,17,18,23","06,11"
24078,2024-07-08,"05,07,10,14,15","04,07"
24077,2024-07-06,"01,03,25,26,29","06,12"
24076,2024-07-03,"01,06,22,27,35","07,12"
24075,2024-07-01,"08,17,26,28,32","01,10"
24074,2024-06-29,"02,10,11,21,27","09,11"
24073,2024-06-26,"07,09,12,21,23","05,09"
24072,2024-06-24,"04,17,21,23,32","01,06"
24071,2024-06-22,"06,10,15,34,35","02,10"
24070,2024-06-19,"04,20,21,32,34","02,09"
24069,2024-06-17,"07,09,16,20,24","03,07"
24068,2024-06-15,"15,20,31,32,33","05,10"
24067,2024-06-12,"03,11,14,20,22","06,09"
24066,2024-06-10,"13,19,20,24,25","06,07"
24065,2024-06-08,"05,10,18,26,27","03,06"
24064,2024-06-05,"05,12,21,32,33","08,09"
24063,2024-06-03,"07,12,16,33,34","01,03"
24062,2024-06-01,"05,14,15,16,33","03,05"
24061,2024-05-29,"01,12,19,31,33","05,08"
24060,2024-05-27,"03,21,25,28,30","01,12"
24059,2024-05-25,"17,18,20,25,31","03,12"
24058,2024-05-22,"06,10,13,20,32","01,02"
24057,2024-05-20,"09,25,30,33,34","03,09"
24056,2024-05-18,"16,17,18,27,35","06,12"
24055,2024-05-15,"07,17,22,30,34","05,07"
24054,2024-05-13,"05,06,09,11,22","01,03"
24053,2024-05-11,"01,07,19,20,35","03,09"
24052,2024-05-08,"02,03,13,22,34","04,08"
24051,2024-05-06,"05,21,22,23,29","01,02"
24050,2024-05-04,"03,04,14,18,26","07,09"
24049,2024-05-01,"04,06,09,10,22","01,08"
24048,2024-04-29,"12,18,21,26,28","08,09"
24047,2024-04-27,"11,19,21,26,35","10,11"
24046,2024-04-24,"06,12,17,29,30","07,11"
24045,2024-04-22,"09,10,14,31,32","03,08"
24044,2024-04-20,"03,13,15,17,22","06,10"
24043,2024-04-17,"03,04,08,14,27","05,07"
24042,2024-04-15,"01,08,15,23,35","05,12"
24041,2024-04-13,"06,08,14,16,28","03,05"
24040,2024-04-10,"05,12,16,29,30","03,06"
24039,2024-04-08,"03,10,11,20,22","06,10"
24038,2024-04-06,"15,22,24,25,29","01,05"
24037,2024-04-03,"17,19,20,29,35","07,11"
24036,2024-04-01,"02,05,11,32,34","06,10"
24035,2024-03-30,"05,13,17,29,33","05,12"
24034,2024-03-27,"23,26,27,29,33","05,08"
24033,2024-03-25,"04,08,10,11,15","07,09"
24032,2024-03-23,"05,15,26,33,35","01,09"
24031,2024-03-20,"09,12,15,30,34","05,06"
24030,2024-03-18,"08,09,11,19,30","06,12"
24029,2024-03-16,"04,19,24,28,34","04,05"
24028,2024-03-13,"13,18,20,26,28","04,08"
24027,2024-03-11,"08,09,16,22,23","07,09"
24026,2024-03-09,"01,18,21,26,33","02,12"
24025,2024-03-06,"01,02,08,18,27","04,08"
24024,2024-03-04,"03,05,12,17,26","01,12"
24023,2024-03-02,"08,10,12,14,22","05,09"
24022,2024-02-28,"07,09,11,31,32","04,08"
24021,2024-02-26,"01,12,16,20,28","07,09"
